Time,Price,Volume,Value,Reason,Condition Code,Trade No,DS
"17:00:53","1233","71,625","883,136","MATCH","","3096840","JSE",
"14:27:52","1230","24,775","304,733","ASK","","1810780","JSE",
"10:11:49","1245","14,167","176,379","BID","","383470","JSE",
"10:11:49","1243","11,325","140,770","ASK","","383490","JSE",
"10:11:49","1245","10,000","124,500","BID","","383450","JSE",
"09:57:18","1247","7,409","92,390","-","","252930","JSE",
"11:21:55","1246","7,166","89,288","-","","818890","JSE",
"11:34:09","1245","7,007","87,237","-","","890050","JSE",
"14:39:29","1229","6,400","78,656","BID","","1871170","JSE",
"09:25:52","1237","5,684","70,311","-","","127800","JSE",
"10:30:10","1247","5,517","68,797","BID","","515480","JSE",
"11:21:55","1246","5,408","67,384","-","","818910","JSE",
"15:19:37","1228","5,440","66,803","BID","","2129890","JSE",
"12:32:54","1247","5,020","62,599","ASK","","1193230","JSE",
"12:55:46","1240","4,999","61,988","BID","","1315450","JSE",
"13:33:54","1235","5,000","61,750","BID","","1532450","JSE",
"14:57:30","1230","5,000","61,500","BID","","1990300","JSE",
"15:27:55","1230","4,946","60,836","BID","","2186360","JSE",
"10:02:05","1246","4,807","59,895","-","","297580","JSE",
"15:39:40","1226","4,775","58,542","ASK","","2270240","JSE",
"15:46:53","1225","4,625","56,656","BID","","2320330","JSE",
"11:04:49","1247","4,275","53,309","-","","716500","JSE",
"15:28:21","1230","4,257","52,361","BID","","2188300","JSE",
"15:46:53","1225","4,097","50,188","BID","","2320360","JSE",
"15:27:55","1230","4,008","49,298","BID","","2186320","JSE",
"13:29:52","1240","3,957","49,067","BID","","1515420","JSE",
"13:39:50","1233","3,832","47,249","BID","","1560320","JSE",
"13:29:05","1241","3,716","46,116","ASK","","1512640","JSE",
"10:26:31","1247","3,675","45,827","BID","","493780","JSE",
"14:49:30","1229","3,717","45,682","BID","","1936740","JSE",
"13:30:55","1238","3,653","45,224","ASK","","1520510","JSE",
"10:26:29","1248","3,556","44,379","-","","492910","JSE",
"10:01:32","1248","3,504","43,730","-","","289410","JSE",
"16:23:23","1227","3,552","43,583","ASK","","2624960","JSE",
"11:34:11","1243","3,504","43,555","BID","","892040","JSE",
"12:32:28","1246","3,492","43,510","BID","","1191240","JSE",
"15:58:13","1231","3,524","43,380","BID","","2394290","JSE",
"10:26:29","1248","3,413","42,594","-","","493070","JSE",
"15:27:55","1230","3,359","41,316","BID","","2186350","JSE",
"11:42:49","1246","3,230","40,246","ASK","","951590","JSE",
"12:32:54","1250","3,200","40,000","ASK","","1193150","JSE",
"10:01:32","1248","3,152","39,337","-","","289430","JSE",
"10:53:21","1246","3,156","39,324","BID","","649800","JSE",
"15:53:36","1225","3,199","39,188","BID","","2363270","JSE",
"12:32:54","1250","3,120","39,000","ASK","","1193180","JSE",
"10:00:25","1247","3,080","38,408","BID","","273990","JSE",
"12:55:43","1240","3,051","37,832","BID","","1315210","JSE",
"16:23:23","1226","3,072","37,663","ASK","","2624980","JSE",
"10:59:47","1250","2,989","37,363","ASK","","682220","JSE",
"13:40:08","1234","3,000","37,020","BID","","1561370","JSE",
"12:32:54","1250","2,950","36,875","ASK","","1193160","JSE",
"15:32:11","1228","2,942","36,128","ASK","","2219830","JSE",
"16:23:11","1227","2,908","35,681","BID","","2623460","JSE",
"10:26:29","1248","2,844","35,493","-","","492890","JSE",
"14:57:30","1230","2,780","34,194","BID","","1990320","JSE",
"16:23:23","1227","2,782","34,135","ASK","","2624970","JSE",
"13:55:43","1234","2,766","34,132","BID","","1633860","JSE",
"16:17:30","1223","2,750","33,633","ASK","","2574610","JSE",
"12:55:43","1240","2,649","32,848","BID","","1315200","JSE",
"15:19:37","1228","2,629","32,284","BID","","2129900","JSE",
"12:55:43","1241","2,564","31,819","ASK","","1315160","JSE",
"11:01:19","1247","2,542","31,699","ASK","","691250","JSE",
"10:01:00","1248","2,538","31,674","BID","","280290","JSE",
"16:06:14","1229","2,570","31,585","ASK","","2464050","JSE",
"15:39:40","1226","2,575","31,570","ASK","","2270250","JSE",
"10:59:41","1249","2,500","31,225","BID","","682020","JSE",
"14:38:32","1227","2,544","31,215","ASK","","1865740","JSE",
"12:32:36","1248","2,500","31,200","BID","","1191810","JSE",
"10:26:29","1247","2,475","30,863","ASK","","493080","JSE",
"15:39:40","1225","2,500","30,625","ASK","","2270270","JSE",
"16:18:51","1225","2,474","30,307","BID","","2586890","JSE",
"12:32:09","1245","2,431","30,266","-","","1189060","JSE",
"12:32:08","1245","2,431","30,266","-","","1189020","JSE",
"15:32:11","1228","2,455","30,147","BID","","2219840","JSE",
"16:35:22","1227","2,453","30,098","BID","","2774640","JSE",
"12:32:08","1245","2,404","29,930","ASK","","1188890","JSE",
"10:00:29","1247","2,400","29,928","BID","","275470","JSE",
"10:01:32","1247","2,365","29,492","ASK","","289440","JSE",
"16:23:56","1231","2,375","29,236","BID","","2628570","JSE",
"13:29:51","1240","2,354","29,190","ASK","","1515350","JSE",
"15:19:37","1228","2,351","28,870","BID","","2129880","JSE",
"15:32:11","1228","2,338","28,711","BID","","2219880","JSE",
"12:32:08","1245","2,298","28,610","-","","1188970","JSE",
"14:37:48","1228","2,326","28,563","ASK","","1862350","JSE",
"12:44:55","1245","2,282","28,411","ASK","","1255550","JSE",
"10:02:57","1244","2,281","28,376","ASK","","309520","JSE",
"12:32:59","1248","2,263","28,242","BID","","1193820","JSE",
"14:58:43","1230","2,295","28,229","BID","","1999020","JSE",
"15:13:59","1227","2,250","27,608","ASK","","2094670","JSE",
"11:21:49","1247","2,203","27,471","ASK","","818400","JSE",
"15:06:37","1230","2,233","27,466","BID","","2044580","JSE",
"14:16:59","1234","2,220","27,395","BID","","1755430","JSE",
"16:35:21","1227","2,225","27,301","ASK","","2774280","JSE",
"15:53:37","1226","2,226","27,291","BID","","2363330","JSE",
"12:33:09","1248","2,178","27,181","BID","","1194610","JSE",
"10:02:16","1245","2,171","27,029","ASK","","300100","JSE",
"16:35:21","1227","2,186","26,822","ASK","","2774290","JSE",
"10:53:30","1247","2,142","26,711","BID","","650650","JSE",
"15:32:11","1229","2,149","26,411","ASK","","2219660","JSE",
"14:09:42","1236","2,126","26,277","BID","","1707900","JSE",
"16:17:30","1221","2,118","25,861","ASK","","2574640","JSE",
"16:18:51","1225","2,100","25,725","BID","","2586860","JSE",
"15:32:11","1228","2,083","25,579","ASK","","2219820","JSE",
"15:32:11","1229","2,077","25,526","ASK","","2219650","JSE",
"12:32:08","1245","2,035","25,336","-","","1188940","JSE",
"12:32:08","1245","2,032","25,298","ASK","","1188900","JSE",
"09:34:02","1237","2,040","25,235","-","","164700","JSE",
"09:54:03","1245","2,019","25,137","ASK","","239800","JSE",
"13:55:43","1234","2,034","25,100","BID","","1633850","JSE",
"12:55:43","1240","2,020","25,048","ASK","","1315180","JSE",
"13:29:05","1241","2,000","24,820","BID","","1512660","JSE",
"13:40:08","1234","2,000","24,680","ASK","","1561360","JSE",
"15:18:56","1228","2,000","24,560","BID","","2124430","JSE",
"11:00:09","1249","1,964","24,530","BID","","684370","JSE",
"12:32:08","1245","1,965","24,464","-","","1188920","JSE",
"12:32:54","1247","1,944","24,242","ASK","","1193260","JSE",
"16:06:14","1228","1,942","23,848","ASK","","2464060","JSE",
"12:32:54","1250","1,904","23,800","BID","","1193130","JSE",
"12:32:54","1250","1,900","23,750","ASK","","1193170","JSE",
"16:06:16","1227","1,935","23,742","ASK","","2464390","JSE",
"10:30:10","1248","1,900","23,712","BID","","515490","JSE",
"16:06:14","1229","1,928","23,695","ASK","","2464030","JSE",
"15:53:36","1225","1,934","23,692","BID","","2363290","JSE",
"16:41:07","1229","1,925","23,658","BID","","2865540","JSE",
"13:29:05","1241","1,900","23,579","ASK","","1512620","JSE",
"12:32:36","1247","1,874","23,369","BID","","1191710","JSE",
"10:59:55","1250","1,867","23,338","BID","","682660","JSE",
"16:35:21","1227","1,899","23,301","ASK","","2774270","JSE",
"16:19:19","1223","1,901","23,249","ASK","","2593500","JSE",
"12:32:54","1250","1,800","22,500","ASK","","1193220","JSE",
"10:01:32","1248","1,800","22,464","ASK","","289390","JSE",
"10:59:47","1250","1,755","21,938","BID","","682230","JSE",
"16:35:22","1227","1,779","21,828","BID","","2774480","JSE",
"10:30:10","1248","1,744","21,765","BID","","515500","JSE",
"15:32:11","1229","1,770","21,753","ASK","","2219670","JSE",
"10:11:59","1246","1,738","21,655","BID","","384660","JSE",
"10:26:40","1249","1,732","21,633","BID","","494640","JSE",
"13:28:51","1242","1,735","21,549","BID","","1511930","JSE",
"13:28:48","1241","1,736","21,544","ASK","","1511570","JSE",
"13:28:48","1241","1,699","21,085","ASK","","1511550","JSE",
"10:26:29","1248","1,676","20,916","-","","492930","JSE",
"11:01:19","1247","1,676","20,900","-","","691260","JSE",
"16:10:47","1224","1,700","20,808","ASK","","2512030","JSE",
"16:19:19","1223","1,701","20,803","ASK","","2593510","JSE",
"10:59:47","1250","1,653","20,663","BID","","682210","JSE",
"14:58:29","1230","1,667","20,504","BID","","1996440","JSE",
"16:19:19","1222","1,670","20,407","ASK","","2593520","JSE",
"12:32:54","1250","1,630","20,375","ASK","","1193190","JSE",
"10:11:59","1246","1,600","19,936","BID","","384650","JSE",
"12:55:43","1240","1,600","19,840","ASK","","1315190","JSE",
"15:27:55","1230","1,600","19,680","BID","","2186340","JSE",
"10:59:28","1247","1,569","19,565","ASK","","681060","JSE",
"13:29:11","1241","1,539","19,099","BID","","1512990","JSE",
"11:34:08","1245","1,486","18,501","ASK","","889560","JSE",
"16:17:30","1223","1,500","18,345","ASK","","2574620","JSE",
