Time,Price,Volume,Value,Reason,Condition Code,Trade No,DS
"17:02:40","1286","36,164","465,069","BID","","3573360","JSE",
"17:02:40","1286","20,192","259,669","BID","","3573350","JSE",
"17:02:40","1286","15,219","195,716","BID","","3573340","JSE",
"17:02:40","1286","48,145","619,145","BID","","3573330","JSE",
"17:00:40","1286","0","0","-","UT","3531174","JSE",
"17:00:40","1286","2,029,459","26,098,843","MATCH","","3531170","JSE",
"16:49:55","1286","142","1,826","ASK","","3462720","JSE",
"16:49:50","1286","610","7,845","ASK","","3461410","JSE",
"16:49:50","1285","754","9,689","ASK","","3461340","JSE",
"16:49:30","1286","45","579","ASK","","3455360","JSE",
"16:49:16","1286","206","2,649","ASK","","3451640","JSE",
"16:49:13","1286","250","3,215","ASK","","3450540","JSE",
"16:49:12","1287","334","4,299","ASK","","3450360","JSE",
"16:49:12","1287","7,170","92,278","ASK","","3450350","JSE",
"16:49:12","1287","215","2,767","ASK","","3450340","JSE",
"16:49:12","1287","8,679","111,699","ASK","","3450100","JSE",
"16:49:08","1287","3,057","39,344","ASK","","3448680","JSE",
"16:49:08","1287","148","1,905","BID","","3448670","JSE",
"16:49:08","1287","1,965","25,290","BID","","3448660","JSE",
"16:49:02","1287","2,937","37,799","ASK","","3447260","JSE",
"16:48:36","1288","5,425","69,874","BID","","3438200","JSE",
"16:48:34","1286","255","3,279","BID","","3437630","JSE",
"16:48:12","1285","445","5,718","ASK","","3431440","JSE",
"16:48:11","1285","94","1,208","ASK","","3431310","JSE",
"16:48:11","1285","199","2,557","ASK","","3431300","JSE",
"16:48:11","1286","336","4,321","BID","","3431180","JSE",
"16:48:11","1285","2,014","25,880","ASK","","3431170","JSE",
"16:48:10","1286","1","13","BID","","3430990","JSE",
"16:48:10","1286","349","4,488","ASK","","3430980","JSE",
"16:48:10","1286","8,403","108,063","ASK","","3430970","JSE",
"16:48:06","1286","224","2,881","ASK","","3430260","JSE",
"16:48:06","1289","11,006","141,867","BID","","3430150","JSE",
"16:47:49","1286","46","592","ASK","","3425160","JSE",
"16:47:06","1286","3,000","38,580","ASK","","3414700","JSE",
"16:47:06","1286","3,400","43,724","ASK","","3414690","JSE",
"16:46:54","1288","2,764","35,600","BID","","3411080","JSE",
"16:46:54","1288","7,403","95,351","BID","","3411070","JSE",
"16:46:51","1286","492","6,327","BID","","3409540","JSE",
"16:46:50","1286","508","6,533","BID","","3409460","JSE",
"16:46:44","1285","1","13","ASK","","3408420","JSE",
"16:46:12","1285","458","5,885","ASK","","3402050","JSE",
"16:45:14","1287","3,832","49,318","BID","","3389480","JSE",
"16:45:14","1287","2,102","27,053","BID","","3389470","JSE",
"16:45:14","1287","5,230","67,310","BID","","3389460","JSE",
"16:41:53","1287","3,625","46,654","BID","","3346670","JSE",
"16:41:53","1287","141","1,815","BID","","3346660","JSE",
"16:41:53","1287","5,257","67,658","BID","","3346650","JSE",
"16:41:53","1287","3,600","46,332","BID","","3346640","JSE",
"16:41:53","1287","2,352","30,270","BID","","3346630","JSE",
"16:41:53","1287","1,051","13,526","BID","","3346620","JSE",
"16:41:53","1287","2,289","29,459","BID","","3346610","JSE",
