Time,Price,Volume,Value,Reason,Condition Code,Trade No,DS
"17:07:58","282","10,000","28,200","ASK","","3686050","JSE",
"17:03:51","282","25,000","70,500","ASK","","3674070","JSE",
"17:03:47","282","10,000","28,200","BID","","3673970","JSE",
"17:03:47","282","1,671","4,712","BID","","3673960","JSE",
"17:03:32","282","12,001","33,843","BID","","3673920","JSE",
"17:03:32","282","2,999","8,457","BID","","3673910","JSE",
"17:02:45","282","10,000","28,200","BID","","3673500","JSE",
"17:00:44","282","0","0","-","UT","3641404","JSE",
"17:00:44","282","139,758","394,118","MATCH","","3641400","JSE",
"16:49:47","282","6,328","17,845","ASK","","3546280","JSE",
"16:49:43","282","8,067","22,749","BID","","3545690","JSE",
"16:49:05","282","1,933","5,451","BID","","3539360","JSE",
"16:49:05","282","6,400","18,048","BID","","3539350","JSE",
"16:49:05","282","728","2,053","BID","","3539340","JSE",
"16:48:55","281","7,900","22,199","BID","","3533990","JSE",
"16:47:40","281","2,000","5,620","BID","","3512700","JSE",
"16:47:30","281","100","281","BID","","3508380","JSE",
"16:42:39","282","1,000","2,820","BID","","3430340","JSE",
"16:42:17","280","21","59","ASK","","3427580","JSE",
"16:40:28","282","2","6","BID","","3392540","JSE",
"16:40:10","282","2,000","5,640","BID","","3387780","JSE",
"16:39:53","280","16,449","46,057","BID","","3379420","JSE",
"16:37:12","280","77","216","BID","","3349550","JSE",
"16:37:00","280","394","1,103","BID","","3346010","JSE",
"16:36:55","280","3,080","8,624","BID","","3343530","JSE",
"16:36:55","280","46,920","131,376","BID","","3343520","JSE",
"16:36:45","280","7,444","20,843","BID","","3341140","JSE",
"16:36:35","279","17,556","48,981","BID","","3339050","JSE",
"16:36:20","279","7,444","20,769","BID","","3335170","JSE",
"16:33:43","279","16,000","44,640","BID","","3292790","JSE",
"16:28:36","280","2","6","BID","","3204010","JSE",
"16:28:25","280","2","6","BID","","3202620","JSE",
"16:27:34","280","2","6","BID","","3193150","JSE",
"16:26:40","277","1","3","ASK","","3182790","JSE",
"16:24:20","280","37,053","103,748","BID","","3154950","JSE",
"16:24:08","280","2,500","7,000","BID","","3152340","JSE",
"16:23:28","279","2,947","8,222","BID","","3145580","JSE",
"16:23:03","279","7,053","19,678","ASK","","3139420","JSE",
"16:23:00","279","100","279","ASK","","3138820","JSE",
"16:22:51","280","3,527","9,876","BID","","3137350","JSE",
"16:22:44","280","2,500","7,000","BID","","3135670","JSE",
"16:22:36","279","10,000","27,900","ASK","","3134260","JSE",
"16:22:30","279","100","279","ASK","","3133260","JSE",
"16:21:50","280","50","140","BID","","3125960","JSE",
"16:21:12","279","5","14","ASK","","3115940","JSE",
"16:21:12","279","1","3","ASK","","3115830","JSE",
"16:21:12","279","20,000","55,800","BID","","3115760","JSE",
"16:21:12","279","3,770","10,518","BID","","3115750","JSE",
"16:21:12","279","6,594","18,397","BID","","3115740","JSE",
"16:20:18","277","999","2,767","ASK","","3106570","JSE",
"16:18:02","277","100","277","ASK","","3079190","JSE",
"16:16:50","279","2,500","6,975","BID","","3062630","JSE",
"16:16:39","277","3","8","ASK","","3061130","JSE",
"16:16:39","277","51,275","142,032","BID","","3061100","JSE",
"16:16:35","276","35","97","ASK","","3060240","JSE",
"16:15:46","277","50,000","138,500","BID","","3049300","JSE",
"16:14:56","277","20,000","55,400","BID","","3042540","JSE",
"16:14:52","277","2,500","6,925","BID","","3041940","JSE",
"16:13:37","277","35","97","BID","","3028630","JSE",
"16:11:55","277","10,000","27,700","BID","","3006030","JSE",
"16:11:24","276","10,000","27,600","ASK","","2999920","JSE",
"16:11:20","276","100","276","ASK","","2999040","JSE",
"16:11:07","276","25,001","69,003","ASK","","2995320","JSE",
"16:11:07","276","33,333","91,999","ASK","","2995310","JSE",
"16:11:07","276","33,333","91,999","ASK","","2995300","JSE",
"16:11:07","276","10,000","27,600","BID","","2995290","JSE",
"16:11:07","276","10,000","27,600","BID","","2995280","JSE",
"16:11:07","276","20,807","57,427","BID","","2995270","JSE",
"16:10:16","276","2,000","5,520","BID","","2987300","JSE",
"16:10:08","275","14,922","41,036","-","","2986680","JSE",
"16:10:08","275","1,265","3,479","ASK","","2986670","JSE",
"16:10:08","275","10,000","27,500","ASK","","2986660","JSE",
"16:10:08","275","23,813","65,486","ASK","","2986650","JSE",
"16:10:01","276","5,000","13,800","BID","","2985990","JSE",
"16:08:24","275","100","275","ASK","","2966140","JSE",
"16:07:38","276","626","1,728","BID","","2958700","JSE",
"16:05:59","274","460","1,260","ASK","","2944210","JSE",
"16:05:57","276","1,500","4,140","BID","","2943950","JSE",
"16:04:36","276","2,000","5,520","BID","","2935390","JSE",
"16:04:21","276","1,400","3,864","BID","","2933280","JSE",
"16:04:02","275","40,000","110,000","BID","","2930170","JSE",
"16:04:02","275","44,860","123,365","BID","","2930160","JSE",
"16:03:52","274","100","274","ASK","","2929050","JSE",
"16:03:52","274","180","493","ASK","","2929040","JSE",
"16:03:52","275","50,000","137,500","BID","","2929020","JSE",
"16:03:46","274","100","274","ASK","","2928100","JSE",
"16:03:42","274","26,500","72,610","BID","","2926800","JSE",
"16:03:00","274","7,500","20,550","BID","","2908780","JSE",
"16:02:46","272","100","272","ASK","","2906910","JSE",
"15:52:19","274","15,000","41,100","BID","","2802560","JSE",
"15:50:21","271","100","271","ASK","","2780050","JSE",
"15:46:10","274","1,000","2,740","BID","","2745160","JSE",
"15:45:15","270","23,287","62,875","ASK","","2735730","JSE",
"15:44:54","266","10,000","26,600","ASK","","2733770","JSE",
"15:44:54","266","5,000","13,300","ASK","","2733760","JSE",
"15:44:54","270","5,000","13,500","ASK","","2733750","JSE",
"15:44:54","270","10,000","27,000","ASK","","2733740","JSE",
"15:44:54","270","10,000","27,000","ASK","","2733730","JSE",
"15:44:54","266","5,000","13,300","ASK","","2733720","JSE",
"15:44:54","270","5,000","13,500","ASK","","2733710","JSE",
"15:44:54","270","10,000","27,000","ASK","","2733700","JSE",
"15:44:54","270","10,000","27,000","ASK","","2733690","JSE",
"15:44:54","266","3,287","8,743","ASK","","2733680","JSE",
"15:44:54","267","1,713","4,574","ASK","","2733670","JSE",
"15:44:54","270","5,000","13,500","ASK","","2733660","JSE",
"15:44:54","270","10,000","27,000","ASK","","2733650","JSE",
"15:44:54","270","10,000","27,000","ASK","","2733640","JSE",
"15:44:53","267","5,000","13,350","ASK","","2733620","JSE",
"15:44:53","270","5,000","13,500","ASK","","2733610","JSE",
"15:44:53","270","10,000","27,000","ASK","","2733600","JSE",
"15:44:53","270","10,000","27,000","ASK","","2733570","JSE",
"15:44:53","268","8,447","22,638","ASK","","2733560","JSE",
"15:44:53","268","1,553","4,162","ASK","","2733550","JSE",
"15:44:53","268","2,447","6,558","ASK","","2733540","JSE",
"15:44:53","270","6,854","18,506","ASK","","2733530","JSE",
