Time,Price,Volume,Value,Reason,Condition Code,Trade No,DS
"17:00:53","59","0","0","-","UT","3949834","JSE",
"17:00:53","59","26","15","MATCH","","3949830","JSE",
"15:37:17","60","10,000","6,000","ASK","","2852930","JSE",
"15:17:32","61","30,440","18,568","ASK","","2703160","JSE",
"15:17:19","61","4,560","2,782","ASK","","2702240","JSE",
"15:16:22","62","100,000","62,000","BID","","2695800","JSE",
"14:05:58","60","20,000","12,000","ASK","","2226620","JSE",
"13:51:16","63","20,000","12,600","BID","","2118920","JSE",
"13:43:13","63","17,800","11,214","BID","","2065060","JSE",
"13:41:01","60","18,000","10,800","ASK","","2052330","JSE",
"13:20:02","60","12,000","7,200","ASK","","1932500","JSE",
"12:33:33","61","100,000","61,000","ASK","","1693560","JSE",
"12:16:21","63","50,000","31,500","BID","","1587370","JSE",
"11:31:15","65","26,454","17,195","-","XT","1199440","JSE",
"10:28:06","66","742","490","BID","","641290","JSE",
"10:28:06","65","2,800","1,820","BID","","641280","JSE",
"09:37:26","66","4,574","3,019","BID","","232610","JSE",
"09:37:26","65","27,426","17,827","BID","","232600","JSE",
"09:28:58","66","223,109","147,252","ASK","","182320","JSE",
"09:28:58","66","10,000","6,600","BID","","182310","JSE",
"09:28:58","66","300,000","198,000","BID","","182300","JSE",
"09:28:58","66","93,321","61,592","BID","","182290","JSE",
"09:28:58","63","126,600","79,758","BID","","182280","JSE",
"09:26:10","63","8,200","5,166","BID","","165370","JSE",
"09:25:39","61","5,000","3,050","ASK","","163580","JSE",
"09:22:17","63","15,200","9,576","BID","","143740","JSE",
"09:13:29","61","5,000","3,050","ASK","","94570","JSE",
"09:00:39","66","151,000","99,660","MATCH","","3780","JSE",
