Time,Price,Volume,Value,Reason,Condition Code,Trade No,DS
"17:08:32","4450","583","25,944","ASK","","3208550","JSE",
"17:08:32","4450","46,665","2,076,593","ASK","","3208540","JSE",
"17:00:48","4450","0","0","-","UT","3180674","JSE",
"17:00:48","4450","61,242","2,725,269","MATCH","","3180670","JSE",
"16:49:39","4476","125","5,595","BID","","3072300","JSE",
"16:45:16","4451","253","11,261","ASK","","3010130","JSE",
"16:45:16","4454","311","13,852","ASK","","3010120","JSE",
"16:45:16","4454","216","9,621","ASK","","3010110","JSE",
"16:45:16","4454","680","30,287","ASK","","3010100","JSE",
"16:44:48","4466","1,003","44,794","BID","","3004770","JSE",
"16:42:39","4466","695","31,039","BID","","2976270","JSE",
"16:42:39","4466","400","17,864","BID","","2976260","JSE",
"16:40:59","4463","1,103","49,227","BID","","2953010","JSE",
"16:40:37","4451","1","45","ASK","","2947760","JSE",
"16:40:06","4451","160","7,122","ASK","","2936410","JSE",
"16:39:18","4463","1,309","58,421","BID","","2922060","JSE",
"16:38:06","4450","1,114","49,573","-","","2905300","JSE",
"16:38:06","4450","214","9,523","ASK","","2905290","JSE",
"16:36:11","4450","647","28,792","ASK","","2879950","JSE",
"16:36:10","4455","560","24,948","ASK","","2879770","JSE",
"16:34:52","4480","4","179","BID","","2866030","JSE",
"16:34:11","4451","80","3,561","ASK","","2855930","JSE",
"16:33:55","4450","1,189","52,911","ASK","","2852060","JSE",
"16:32:11","4451","678","30,178","ASK","","2822250","JSE",
"16:32:10","4456","216","9,625","ASK","","2821830","JSE",
"16:32:10","4456","235","10,472","ASK","","2821820","JSE",
"16:30:09","4483","437","19,591","ASK","","2773090","JSE",
"16:30:09","4483","563","25,239","BID","","2773080","JSE",
"16:29:36","4468","1,356","60,586","BID","","2762770","JSE",
"16:28:26","4457","345","15,377","ASK","","2745110","JSE",
"16:28:25","4462","557","24,853","ASK","","2744750","JSE",
"16:28:25","4462","247","11,021","ASK","","2744740","JSE",
"16:26:37","4463","202","9,015","ASK","","2724620","JSE",
"16:26:36","4465","153","6,831","ASK","","2724340","JSE",
"16:26:35","4466","480","21,437","ASK","","2724060","JSE",
"16:24:38","4465","63","2,813","ASK","","2695100","JSE",
"16:24:38","4465","240","10,716","ASK","","2695090","JSE",
"16:24:37","4473","216","9,662","ASK","","2694410","JSE",
"16:24:37","4474","660","29,528","ASK","","2694400","JSE",
"16:23:44","4474","100","4,474","BID","","2679410","JSE",
"16:22:38","4462","15","669","ASK","","2666530","JSE",
"16:22:33","4462","122","5,444","ASK","","2663330","JSE",
"16:22:33","4462","926","41,318","ASK","","2663320","JSE",
"16:21:52","4477","100","4,477","BID","","2652350","JSE",
"16:20:29","4472","1,169","52,278","BID","","2632250","JSE",
"16:18:30","4467","1,128","50,388","BID","","2602750","JSE",
"16:17:14","4452","271","12,065","ASK","","2582710","JSE",
"16:17:14","4452","750","33,390","ASK","","2582700","JSE",
"16:17:14","4452","310","13,801","ASK","","2582690","JSE",
"16:15:34","4476","528","23,633","ASK","","2555170","JSE",
"16:15:34","4476","402","17,994","ASK","","2555160","JSE",
"16:15:33","4477","113","5,059","ASK","","2554900","JSE",
"16:15:33","4477","216","9,670","ASK","","2554890","JSE",
"16:15:33","4477","216","9,670","ASK","","2554880","JSE",
"16:15:32","4479","238","10,660","ASK","","2553690","JSE",
"16:14:06","4480","750","33,600","ASK","","2533080","JSE",
"16:14:06","4480","750","33,600","ASK","","2533070","JSE",
"16:14:05","4481","315","14,115","ASK","","2533060","JSE",
"16:14:05","4480","750","33,600","ASK","","2533050","JSE",
"16:14:05","4480","750","33,600","ASK","","2533040","JSE",
"16:14:05","4480","600","26,880","ASK","","2533030","JSE",
"16:14:05","4480","216","9,677","ASK","","2533020","JSE",
"16:14:05","4481","750","33,608","ASK","","2533010","JSE",
"16:13:44","4478","562","25,166","ASK","","2526830","JSE",
"16:13:44","4478","720","32,242","ASK","","2526820","JSE",
"16:12:47","4480","30","1,344","ASK","","2514140","JSE",
"16:12:47","4480","174","7,795","ASK","","2514130","JSE",
"16:12:47","4481","720","32,263","ASK","","2514120","JSE",
"16:12:46","4486","861","38,624","BID","","2514090","JSE",
"16:11:53","4481","241","10,799","ASK","","2506890","JSE",
"16:11:53","4482","207","9,278","ASK","","2506880","JSE",
"16:11:53","4483","216","9,683","ASK","","2506870","JSE",
"16:11:53","4483","39","1,748","ASK","","2506860","JSE",
"16:11:53","4483","11","493","ASK","","2506850","JSE",
"16:11:53","4483","650","29,140","ASK","","2506840","JSE",
"16:11:53","4483","782","35,057","ASK","","2506830","JSE",
"16:11:42","4482","418","18,735","ASK","","2505570","JSE",
"16:11:42","4482","779","34,915","ASK","","2505560","JSE",
"16:11:41","4482","3","134","ASK","","2505530","JSE",
"16:07:44","4494","2,400","107,856","BID","","2469770","JSE",
"16:07:44","4485","1,180","52,923","BID","","2469760","JSE",
"16:07:27","4469","51","2,279","ASK","","2467670","JSE",
"16:07:26","4473","260","11,630","ASK","","2467600","JSE",
"16:07:26","4473","164","7,336","ASK","","2467590","JSE",
"16:07:26","4473","820","36,679","ASK","","2467580","JSE",
"16:05:35","4478","23","1,030","ASK","","2454150","JSE",
"16:05:35","4478","400","17,912","ASK","","2454140","JSE",
"16:05:35","4478","171","7,657","ASK","","2454130","JSE",
"16:05:35","4478","229","10,255","ASK","","2454120","JSE",
"16:05:35","4479","102","4,569","ASK","","2454110","JSE",
"16:05:35","4479","15","672","ASK","","2454100","JSE",
"16:05:35","4479","17","761","ASK","","2454090","JSE",
"16:05:35","4479","1,550","69,425","ASK","","2454080","JSE",
