Time,Price,Volume,Value,Reason,Condition Code,Trade No,DS
"17:00:51","660","0","0","-","UT","3553234","JSE",
"17:00:51","660","645","4,257","MATCH","","3553230","JSE",
"16:29:47","660","2,000","13,200","BID","","3121130","JSE",
"16:29:22","660","1,225","8,085","BID","","3117850","JSE",
"16:26:51","660","5,550","36,630","BID","","3094390","JSE",
"15:31:35","652","7,551","49,233","ASK","","2448420","JSE",
"15:31:35","652","7,449","48,567","ASK","","2448410","JSE",
"15:31:12","650","3,775","24,538","ASK","","2443070","JSE",
"15:31:12","650","6,225","40,463","ASK","","2443060","JSE",
"12:15:18","640","2,939","18,810","BID","","1026640","JSE",
"12:15:18","640","8,114","51,930","BID","","1026630","JSE",
"12:15:18","640","8,114","51,930","BID","","1026620","JSE",
"12:15:18","640","14,928","95,539","MATCH","","1026600","JSE",
"11:36:24","640","1,286","8,230","BID","","825520","JSE",
"11:36:24","640","600","3,840","BID","","825510","JSE",
"11:28:50","640","3,100","19,840","BID","","785330","JSE",
"11:16:27","630","50","315","BID","","715520","JSE",
"10:17:55","640","1,300","8,320","BID","","405420","JSE",
"10:13:45","584","500","2,920","ASK","","373050","JSE",
"10:13:37","642","3,125","20,063","ASK","","372530","JSE",
"10:13:37","648","3,100","20,088","ASK","","372520","JSE",
"10:13:25","650","198","1,287","BID","","371840","JSE",
"10:13:25","650","10,000","65,000","ASK","","371830","JSE",
"10:13:25","655","3,054","20,004","ASK","","371820","JSE",
"10:13:25","660","2,000","13,200","ASK","","371810","JSE",
"10:13:25","661","6,950","45,940","-","","371800","JSE",
"10:13:25","661","3,050","20,161","ASK","","371790","JSE",
"10:13:25","662","6,648","44,010","ASK","","371780","JSE",
"10:01:04","675","4,000","27,000","BID","","276510","JSE",
