Time,Price,Volume,Value,Reason,Condition Code,Trade No,DS
"17:00:42","34","0","0","-","UT","3254364","JSE",
"17:00:42","34","14","5","MATCH","","3254360","JSE",
"16:36:42","34","91","31","-","","2989080","JSE",
"16:36:42","34","134,335","45,674","BID","","2989070","JSE",
"16:31:35","34","2,942","1,000","BID","","2929320","JSE",
"16:28:58","33","5","2","ASK","","2881720","JSE",
"16:22:15","34","3,639","1,237","BID","","2808770","JSE",
"16:13:48","33","12,848","4,240","ASK","","2734470","JSE",
"16:13:48","33","8,691","2,868","ASK","","2734460","JSE",
"16:13:48","33","3,000","990","ASK","","2734450","JSE",
"16:13:48","33","25,461","8,402","ASK","","2734440","JSE",
"15:39:53","33","28,000","9,240","ASK","","2387510","JSE",
"15:36:30","34","125,684","42,733","BID","","2364550","JSE",
"14:09:19","34","100,000","34,000","BID","","1728870","JSE",
"14:04:30","34","49,953","16,984","BID","","1696920","JSE",
"14:04:30","34","47","16","BID","","1696910","JSE",
"14:02:26","34","400","136","BID","","1684810","JSE",
"14:02:26","34","95,050","32,317","BID","","1684800","JSE",
"12:15:54","34","1,475","502","MATCH","","1137030","JSE",
"11:57:01","34","3,475","1,182","BID","","1065620","JSE",
"10:41:31","33","5,700","1,881","ASK","","597300","JSE",
"10:06:47","34","84,296","28,661","-","","346110","JSE",
"10:06:47","34","89,324","30,370","BID","","346100","JSE",
"10:06:47","34","609,001","207,060","-","","346000","JSE",
"10:06:47","34","90,999","30,940","BID","","345990","JSE",
"09:58:44","34","4,000","1,360","BID","","244280","JSE",
"09:00:37","34","2,795","950","MATCH","","5890","JSE",
