Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"28-Feb-2025","18916","19070","18777","18793","4m","754.44m","18.82471k","7,668","1",
"27-Feb-2025","19090","19349","18980","18997","1m","235.08m","19.07842k","4,136","1",
"26-Feb-2025","18995","19292","18951","19240","2m","473.59m","19.19461k","9,380","1",
"25-Feb-2025","18772","18970","18457","18919","2m","358.75m","18.87726k","5,350","1",
"24-Feb-2025","18701","19017","18637","18719","2m","393.78m","18.7574k","6,711","1",
"21-Feb-2025","18785","19017","18722","18927","2m","470.5m","18.91599k","6,193","1",
"20-Feb-2025","18795","18891","18358","18662","3m","624.76m","18.6097k","5,942","1",
"19-Feb-2025","19044","19320","18712","18795","4m","786.82m","18.96945k","10,498","1",
"18-Feb-2025","18600","19013","18503","19013","2m","314.54m","18.90241k","3,485","1",
"17-Feb-2025","18988","19079","18698","18859","1m","208.16m","18.83583k","2,917","1",
"14-Feb-2025","18850","19111","18489","18964","2m","317.41m","18.86335k","5,245","1",
"13-Feb-2025","19191","19191","18699","18806","3m","515.58m","18.85485k","8,061","1",
"12-Feb-2025","19159","19178","18750","18885","2m","447.04m","18.95923k","7,304","1",
"11-Feb-2025","19250","19250","18921","18921","2m","344.77m","18.96441k","4,956","1",
"10-Feb-2025","18876","19218","18726","19118","3m","520.7m","19.06504k","6,575","1",
"07-Feb-2025","18949","18949","18742","18876","2m","305.88m","18.88393k","5,797","1",
"06-Feb-2025","18849","18849","18473","18733","3m","647.53m","18.66954k","7,883","1",
"05-Feb-2025","18671","18781","18401","18519","4m","801.04m","18.53358k","8,134","1",
"04-Feb-2025","18543","18744","18378","18665","2m","362.54m","18.62406k","5,477","1",
"03-Feb-2025","18200","18484","18038","18425","2m","413.07m","18.29622k","7,483","1",
"31-Jan-2025","19010","19054","18468","18566","2m","373.96m","18.57959k","3,999","1",
"30-Jan-2025","19070","19157","18900","19099","2m","404.33m","19.06267k","4,952","1",
"29-Jan-2025","18656","19073","18656","18978","2m","444.58m","18.92101k","6,978","1",
