Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"28-Feb-2025","305700","314659","305700","307437","384k","1.19b","308.58763k","5,114","1",
"27-Feb-2025","316009","318545","311503","311503","243k","761.83m","313.82252k","5,566","1",
"26-Feb-2025","308826","319358","308826","317942","234k","743.31m","317.52237k","3,576","1",
"25-Feb-2025","310434","314888","308801","312581","144k","450.37m","312.07022k","3,472","1",
"24-Feb-2025","305456","312562","305456","308990","200k","618.24m","309.03289k","5,890","1",
"21-Feb-2025","309620","314000","306105","310550","274k","853.12m","310.90982k","5,359","1",
"20-Feb-2025","312500","312506","303914","310500","213k","658.85m","309.57347k","4,148","1",
"19-Feb-2025","313530","319817","311696","312406","366k","1.15b","315.21369k","8,520","1",
"18-Feb-2025","305502","313289","305502","313120","220k","687.03m","312.01723k","4,676","1",
"17-Feb-2025","310000","312025","305043","308964","262k","805.04m","308.06153k","3,596","1",
"14-Feb-2025","313500","314296","306336","307658","239k","734.39m","307.8858k","6,716","1",
"13-Feb-2025","315500","317842","309593","311100","393k","1.22b","311.83345k","10,476","1",
"12-Feb-2025","315000","318613","311777","315479","556k","1.75b","315.49201k","10,142","1",
"11-Feb-2025","315703","316168","312082","313774","277k","867.88m","313.64968k","7,685","1",
"10-Feb-2025","323555","323627","315227","316000","274k","867.61m","317.10345k","5,220","1",
"07-Feb-2025","318499","323608","316137","322500","354k","1.14b","322.1334k","5,326","1",
"06-Feb-2025","311187","319513","310500","317100","347k","1.1b","316.85108k","8,388","1",
"05-Feb-2025","305001","313607","305001","309829","334k","1.04b","310.79899k","8,133","1",
"04-Feb-2025","298871","308028","298063","306978","475k","1.45b","305.72774k","11,904","1",
"03-Feb-2025","297261","298510","291704","297392","231k","683.26m","295.72899k","6,194","1",
"31-Jan-2025","295000","304096","290669","297262","443k","1.32b","297.02556k","8,313","1",
"30-Jan-2025","296958","296958","293102","294617","221k","650.44m","294.70989k","4,044","1",
"29-Jan-2025","290301","298150","290301","296062","292k","864.25m","295.88763k","6,154","1",
"28-Jan-2025","287515","292671","285758","291697","312k","906.3m","290.43819k","7,235","1",
"27-Jan-2025","290100","294622","287511","290950","263k","765.23m","291.05024k","6,601","1",
"24-Jan-2025","293086","295454","290073","292100","350k","1.02b","291.6748k","6,462","1",
"23-Jan-2025","297111","298086","290626","292100","309k","903.92m","292.40873k","7,574","1",
"22-Jan-2025","298500","300240","296648","297801","229k","681.49m","298.20536k","5,467","1",
"21-Jan-2025","300024","301788","296666","297901","316k","944.18m","298.53047k","5,379","1",
"20-Jan-2025","303636","305754","299316","301297","242k","730.15m","301.77256k","5,832","1",
"17-Jan-2025","303179","307094","302118","302184","246k","745.82m","303.50956k","4,997","1",
"16-Jan-2025","302501","307655","299457","303179","261k","787.38m","302.08133k","6,381","1",
"15-Jan-2025","297499","303169","295021","303169","356k","1.07b","300.40976k","8,871","1",
"14-Jan-2025","305524","305524","295260","296736","342k","1.02b","297.69289k","7,802","1",
"13-Jan-2025","305000","306612","296980","299501","389k","1.17b","299.65406k","9,090","1",
