Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"28-Feb-2025","70","70","70","70","501k","350.84k","70","8","1",
"27-Feb-2025","70","70","69","70","793k","552.46k","69.63447","9","1",
"26-Feb-2025","70","70","65","70","39k","25.86k","67.16098","6","1",
"25-Feb-2025","70","70","66","69","619k","429.23k","69.37003","6","1",
"24-Feb-2025","62","70","62","65","2m","994.93k","65.61664","13","1",
"21-Feb-2025","57","57","57","57","4k","2.28k","57","1","1",
"20-Feb-2025","54","57","53","57","684k","372.88k","54.48879","13","1",
"19-Feb-2025","0","0","0","52","0","0","0","0","1",
"18-Feb-2025","53","54","52","52","34k","17.99k","52.94438","6","1",
"17-Feb-2025","0","0","0","53","0","0","0","0","1",
"14-Feb-2025","0","0","0","53","0","0","0","0","1",
"13-Feb-2025","0","0","0","53","0","0","0","0","1",
"12-Feb-2025","53","53","53","53","500","265","53","1","1",
"11-Feb-2025","51","54","49","49","84k","44.93k","53.69932","9","1",
"10-Feb-2025","50","50","50","50","250","125","50","1","1",
"07-Feb-2025","0","0","0","56","0","0","0","0","1",
"06-Feb-2025","0","0","0","56","0","0","0","0","1",
"05-Feb-2025","56","56","56","56","40k","22.4k","56","2","1",
"04-Feb-2025","55","55","55","55","9k","4.87k","55","4","1",
"03-Feb-2025","55","55","55","55","23k","12.61k","55","5","1",
"31-Jan-2025","56","58","54","54","29k","16.32k","56.98213","4","1",
"30-Jan-2025","54","54","54","54","1k","586.44","54","1","1",
"29-Jan-2025","54","54","53","54","110k","58.42k","53.10909","6","1",
"28-Jan-2025","56","58","56","58","18k","10.2k","57.77336","2","1",
"27-Jan-2025","55","55","55","55","225","123.75","55","1","1",
"24-Jan-2025","58","58","58","58","2k","986","58","1","1",
"23-Jan-2025","58","58","57","57","4k","2.46k","57.5936","2","1",
"22-Jan-2025","56","58","56","58","442k","247.74k","56.04872","10","1",
"21-Jan-2025","60","60","57","60","44k","26.09k","59.95229","7","1",
"20-Jan-2025","58","61","56","61","157k","87.87k","56.02843","3","1",
"17-Jan-2025","56","60","56","59","66k","37.52k","56.46507","5","1",
"16-Jan-2025","57","65","53","56","1m","603.64k","57.80437","37","1",
"15-Jan-2025","64","64","59","59","372k","234.58k","63.05914","8","1",
"14-Jan-2025","62","63","56","62","347k","205.94k","59.42981","16","1",
"13-Jan-2025","67","67","63","63","741k","474.58k","64.08877","12","1",
