Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"28-Feb-2025","1345","1345","1303","1321","3m","38.46m","1.3189k","726","1",
"27-Feb-2025","1339","1347","1320","1322","869k","11.57m","1.33133k","479","1",
"26-Feb-2025","1350","1356","1330","1345","2m","28.88m","1.34244k","657","1",
"25-Feb-2025","1308","1336","1282","1335","2m","23.72m","1.32401k","1,012","1",
"24-Feb-2025","1339","1353","1308","1308","981k","12.97m","1.32226k","1,227","1",
"21-Feb-2025","1325","1347","1315","1339","995k","13.27m","1.33324k","502","1",
"20-Feb-2025","1310","1329","1300","1314","3m","38.58m","1.31443k","601","1",
"19-Feb-2025","1312","1333","1307","1310","1m","18.39m","1.3214k","520","1",
"18-Feb-2025","1300","1324","1300","1318","1m","14.46m","1.31369k","586","1",
"17-Feb-2025","1305","1324","1299","1312","3m","39.73m","1.31233k","728","1",
"14-Feb-2025","1315","1331","1312","1317","2m","31.92m","1.32517k","564","1",
"13-Feb-2025","1325","1338","1305","1315","1m","15.9m","1.31865k","432","1",
"12-Feb-2025","1337","1342","1322","1325","4m","55.58m","1.33113k","564","1",
"11-Feb-2025","1320","1348","1318","1331","6m","80.56m","1.33506k","671","1",
"10-Feb-2025","1287","1325","1287","1323","6m","78.64m","1.31471k","812","1",
"07-Feb-2025","1266","1301","1266","1300","2m","26.4m","1.29094k","588","1",
"06-Feb-2025","1247","1297","1243","1285","2m","26.52m","1.28106k","535","1",
"05-Feb-2025","1219","1250","1219","1250","1m","18.12m","1.24686k","480","1",
"04-Feb-2025","1243","1244","1203","1220","1m","14.55m","1.22004k","567","1",
"03-Feb-2025","1217","1228","1208","1221","445k","5.42m","1.21748k","308","1",
"31-Jan-2025","1269","1269","1220","1228","2m","27.95m","1.24343k","1,010","1",
"30-Jan-2025","1247","1270","1218","1250","4m","48.78m","1.24778k","1,498","1",
"29-Jan-2025","1203","1230","1202","1230","291k","3.56m","1.22419k","237","1",
"28-Jan-2025","1233","1235","1203","1203","344k","4.18m","1.2169k","334","1",
"27-Jan-2025","1220","1223","1193","1222","321k","3.88m","1.20664k","251","1",
"24-Jan-2025","1237","1250","1220","1233","752k","9.31m","1.23776k","1,049","1",
"23-Jan-2025","1242","1248","1230","1230","3m","32.32m","1.2375k","430","1",
"22-Jan-2025","1251","1271","1240","1242","1m","13.23m","1.25191k","591","1",
"21-Jan-2025","1251","1260","1239","1250","3m","36.04m","1.24958k","442","1",
"20-Jan-2025","1228","1275","1223","1250","1m","16.71m","1.25402k","713","1",
"17-Jan-2025","1193","1222","1175","1221","458k","5.49m","1.19966k","313","1",
"16-Jan-2025","1180","1181","1152","1177","579k","6.76m","1.16647k","283","1",
"15-Jan-2025","1186","1186","1140","1176","3m","36.61m","1.16543k","279","1",
"14-Jan-2025","1192","1192","1150","1176","4m","42.64m","1.16653k","530","1",
"13-Jan-2025","1192","1197","1151","1155","353k","4.12m","1.16688k","363","1",
"10-Jan-2025","1189","1206","1175","1206","2m","24.01m","1.20257k","466","1",
"09-Jan-2025","1190","1207","1172","1185","416k","4.93m","1.18393k","340","1",
"08-Jan-2025","1150","1198","1150","1190","662k","7.81m","1.17883k","425","1",
"07-Jan-2025","1161","1187","1161","1166","353k","4.14m","1.17351k","347","1",
"06-Jan-2025","1168","1181","1161","1176","501k","5.87m","1.17199k","360","1",
"03-Jan-2025","1194","1194","1163","1189","223k","2.62m","1.17579k","154","1",
"02-Jan-2025","1200","1208","1185","1194","583k","6.97m","1.19498k","337","1",
"01-Jan-2025","0","0","0","1196","0","0","0","0","1",
