Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"28-Feb-2025","12100","12100","11971","12040","4m","423.63m","12.03165k","6,083","1",
"27-Feb-2025","12650","12650","12109","12116","683k","83.41m","12.21224k","2,827","1",
"26-Feb-2025","12205","12489","12205","12448","2m","198.34m","12.43719k","3,139","1",
"25-Feb-2025","12383","12447","12193","12254","968k","118.64m","12.25292k","3,978","1",
"24-Feb-2025","12351","12650","12349","12349","556k","69.21m","12.44562k","4,463","1",
"21-Feb-2025","12350","12548","12350","12499","738k","92.13m","12.48907k","3,048","1",
"20-Feb-2025","12296","12540","12296","12395","884k","109.79m","12.4318k","2,461","1",
"19-Feb-2025","12451","12642","12423","12435","648k","80.91m","12.48127k","2,748","1",
"18-Feb-2025","12350","12614","12200","12500","413k","51.52m","12.47864k","1,478","1",
"17-Feb-2025","12450","12508","12318","12432","1m","159.82m","12.43123k","2,039","1",
"14-Feb-2025","12650","12650","12346","12460","1m","130.97m","12.44496k","2,136","1",
"13-Feb-2025","12500","12679","12400","12496","2m","216.93m","12.50039k","8,549","1",
"12-Feb-2025","12163","12439","12101","12439","2m","227.07m","12.36186k","6,289","1",
"11-Feb-2025","12100","12203","11851","12164","1m","169.64m","12.11682k","4,422","1",
"10-Feb-2025","12003","12183","11984","12132","1m","145.06m","12.09711k","6,689","1",
"07-Feb-2025","11936","12139","11710","12023","3m","375.93m","12.05413k","4,903","1",
"06-Feb-2025","11950","12090","11873","11968","1m","168.77m","11.96728k","4,727","1",
"05-Feb-2025","11585","11847","11585","11800","5m","552.84m","11.76622k","5,628","1",
"04-Feb-2025","11634","11641","11498","11600","4m","434.09m","11.58012k","5,785","1",
"03-Feb-2025","11822","11847","11497","11497","2m","222.49m","11.5924k","7,031","1",
"31-Jan-2025","11771","12097","11771","11933","2m","206.59m","12.00748k","5,875","1",
"30-Jan-2025","12000","12024","11878","11971","4m","536.49m","11.96142k","12,989","1",
"29-Jan-2025","11961","12150","11961","11972","2m","284.77m","12.0385k","10,542","1",
"28-Jan-2025","11966","12116","11819","11966","2m","199.86m","11.99661k","8,911","1",
"27-Jan-2025","11800","12162","11800","11945","4m","464.85m","11.96496k","14,294","1",
"24-Jan-2025","12170","12249","11973","11973","2m","284.95m","12.12075k","10,790","1",
"23-Jan-2025","12625","12700","12166","12196","1m","152.12m","12.26636k","4,692","1",
"22-Jan-2025","12482","12625","12440","12440","662k","82.74m","12.49174k","2,044","1",
"21-Jan-2025","12532","12604","12384","12481","581k","72.71m","12.51653k","3,490","1",
"20-Jan-2025","12544","12800","12302","12525","483k","60.53m","12.52515k","3,262","1",
"17-Jan-2025","12445","12800","12201","12544","515k","64.33m","12.50388k","3,125","1",
"16-Jan-2025","12529","12529","12222","12310","547k","67.3m","12.29793k","3,969","1",
"15-Jan-2025","11937","12374","11854","12334","954k","116.28m","12.18735k","6,689","1",
"14-Jan-2025","11995","12216","11969","12009","1m","122.46m","12.06188k","1,680","1",
"13-Jan-2025","12290","12429","11915","11988","734k","88.03m","11.98144k","3,154","1",
"10-Jan-2025","12361","12402","12230","12290","2m","264.25m","12.30166k","2,511","1",
