Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"28-Feb-2025","27500","28297","27500","27981","3m","775.47m","28.03465k","8,019","1",
"27-Feb-2025","28083","28681","27576","27945","1m","338.26m","28.12496k","7,635","1",
"26-Feb-2025","28001","28746","28001","28485","1m","337.79m","28.52655k","6,914","1",
"25-Feb-2025","27916","28370","27916","28231","1m","305.18m","28.15726k","7,354","1",
"24-Feb-2025","27744","28259","27744","28057","1m","326.82m","28.0389k","8,993","1",
"21-Feb-2025","27543","28179","27543","27995","2m","508.08m","28.0326k","7,520","1",
"20-Feb-2025","28290","28290","27330","27950","1m","312.95m","27.9686k","3,635","1",
"19-Feb-2025","28305","28733","27914","28173","1m","389.52m","28.27925k","7,967","1",
"18-Feb-2025","28900","28900","27885","28400","803k","227.58m","28.37035k","2,533","1",
"17-Feb-2025","28749","28749","27906","28136","945k","265.71m","28.1159k","2,678","1",
"14-Feb-2025","28800","28800","28047","28343","1m","372.78m","28.35134k","4,715","1",
"13-Feb-2025","28734","28734","28125","28332","2m","540.58m","28.39066k","7,138","1",
"12-Feb-2025","27800","28744","27800","28569","2m","568.88m","28.50992k","9,060","1",
"11-Feb-2025","28050","28399","27700","28153","2m","459.65m","27.98542k","8,175","1",
"10-Feb-2025","27666","27919","27492","27775","1m","283.83m","27.75856k","5,850","1",
"07-Feb-2025","27500","27824","27486","27666","900k","249.06m","27.66509k","6,762","1",
"06-Feb-2025","27250","27797","27250","27470","2m","483.07m","27.51358k","6,234","1",
"05-Feb-2025","27699","27849","27228","27432","2m","669.77m","27.44681k","8,252","1",
"04-Feb-2025","26900","27699","26900","27522","1m","319.98m","27.45714k","6,963","1",
"03-Feb-2025","27400","27400","26805","27062","2m","463.29m","27.04859k","9,293","1",
"31-Jan-2025","27807","28004","27211","27433","1m","284.82m","27.40752k","4,451","1",
"30-Jan-2025","27825","28169","27761","27761","2m","438.5m","27.89606k","6,796","1",
"29-Jan-2025","27800","28194","27800","27950","1m","290.96m","28.02703k","6,173","1",
"28-Jan-2025","27599","27943","27342","27943","961k","267.2m","27.81152k","4,997","1",
"27-Jan-2025","27816","27816","27269","27672","1m","318.2m","27.55704k","7,279","1",
"24-Jan-2025","27601","28012","27532","27892","1m","388.15m","27.90063k","7,615","1",
"23-Jan-2025","28192","28192","27532","27587","1m","329.68m","27.68911k","6,518","1",
"22-Jan-2025","28104","28514","27979","28192","973k","274.83m","28.24969k","4,511","1",
"21-Jan-2025","27921","28698","27921","28404","544k","154.8m","28.46082k","3,504","1",
"20-Jan-2025","28700","28700","28098","28286","772k","218.5m","28.28876k","5,405","1",
"17-Jan-2025","27900","28568","27789","28500","1m","299.11m","28.37888k","4,288","1",
"16-Jan-2025","27900","28000","27402","27660","689k","190.35m","27.62077k","4,338","1",
"15-Jan-2025","27682","27842","27173","27842","1m","357.49m","27.65817k","6,710","1",
"14-Jan-2025","27400","27620","27150","27292","646k","176.59m","27.34413k","3,355","1",
"13-Jan-2025","28240","28240","27020","27200","2m","586.63m","27.28611k","10,292","1",
"10-Jan-2025","28494","28615","28101","28240","909k","256.94m","28.24688k","2,847","1",
"09-Jan-2025","28368","28483","28100","28354","581k","164.24m","28.28415k","3,332","1",
"08-Jan-2025","29137","29137","28264","28329","1m","297.3m","28.40773k","5,363","1",
"07-Jan-2025","28605","29790","28605","28939","618k","179.92m","29.12711k","3,462","1",
"06-Jan-2025","28599","29217","28511","29042","2m","532.41m","29.0195k","6,146","1",
"03-Jan-2025","27900","28573","27859","28475","456k","129.64m","28.40459k","2,739","1",
"02-Jan-2025","28377","28530","27966","28139","431k","121.57m","28.20684k","4,237","1",
"01-Jan-2025","0","0","0","28171","0","0","0","0","1",
"31-Dec-2024","27800","28350","27800","28171","298k","83.97m","28.13857k","1,639","1",
"30-Dec-2024","27800","28300","27800","28074","571k","160.39m","28.08459k","5,027","1",
"27-Dec-2024","28010","28431","27904","28150","563k","158.17m","28.08496k","3,973","1",
"26-Dec-2024","0","0","0","28289","0","0","0","0","1",
"25-Dec-2024","0","0","0","28289","0","0","0","0","1",
"24-Dec-2024","29485","29485","28289","28289","212k","60.03m","28.32678k","885","1",
"23-Dec-2024","28388","28741","28162","28448","670k","190.37m","28.42741k","4,494","1",
"20-Dec-2024","28276","28642","27950","28463","3m","814.96m","28.41992k","5,210","1",
"19-Dec-2024","28490","28663","27744","28276","5m","1.43b","27.87613k","10,418","1",
"18-Dec-2024","29094","29094","28509","28509","1m","399.78m","28.66342k","6,988","1",
"17-Dec-2024","29160","29590","28712","28804","1m","432.43m","28.93587k","8,057","1",
"16-Dec-2024","0","0","0","29160","0","0","0","0","1",
"13-Dec-2024","29479","29605","28985","29160","1m","317.01m","29.24528k","8,428","1",
"12-Dec-2024","28900","29323","28900","29142","3m","977.99m","29.17606k","5,130","1",
"11-Dec-2024","30584","30670","28829","28852","2m","653.27m","29.15439k","12,253","1",
"10-Dec-2024","30710","30815","30374","30629","2m","469.47m","30.59775k","8,835","1",
"09-Dec-2024","30410","30949","30410","30815","1m","458.4m","30.80165k","8,746","1",
"06-Dec-2024","30000","30649","29819","30624","1m","305.41m","30.47922k","7,937","1",
"05-Dec-2024","29211","30300","29211","30121","1m","396.55m","30.08117k","6,493","1",
"04-Dec-2024","29000","29700","29000","29536","818k","241.32m","29.48142k","4,955","1",
"03-Dec-2024","29105","29436","28908","29093","1m","339.57m","29.1556k","9,525","1",
"02-Dec-2024","28800","29350","28698","29284","785k","229.51m","29.22354k","3,637","1",
"29-Nov-2024","29299","29370","28642","28878","747k","215.62m","28.88164k","5,186","1",
"28-Nov-2024","28543","29095","28543","28922","706k","204.14m","28.90502k","4,812","1",
"27-Nov-2024","28501","29499","28500","28800","1m","324.4m","28.98921k","7,179","1",
"26-Nov-2024","29105","29854","28962","29383","794k","233.63m","29.44739k","7,565","1",
"25-Nov-2024","29300","29999","29300","29318","2m","626.61m","29.39553k","8,086","1",
"22-Nov-2024","30000","30000","29441","29490","1m","296.03m","29.57942k","6,523","1",
"21-Nov-2024","29840","29975","29592","29859","1m","412.55m","29.8261k","6,107","1",
"20-Nov-2024","28750","29796","28750","29644","1m","328.64m","29.47773k","7,425","1",
"19-Nov-2024","28925","29145","28608","29000","923k","267.64m","28.96197k","6,677","1",
"18-Nov-2024","29100","29299","28762","28944","785k","227.02m","28.91951k","6,046","1",
"15-Nov-2024","29179","29286","28736","28960","1m","302.13m","28.95994k","4,673","1",
"14-Nov-2024","29059","29474","28842","29177","958k","280.02m","29.21598k","5,558","1",
"13-Nov-2024","28700","29289","28700","29060","567k","164.76m","29.07155k","3,572","1",
"12-Nov-2024","29164","29333","28912","29147","1m","358.94m","29.13253k","6,648","1",
"11-Nov-2024","29900","29900","29155","29238","840k","246.02m","29.28319k","5,603","1",
"08-Nov-2024","29524","29934","29160","29330","803k","236.35m","29.43346k","5,100","1",
"07-Nov-2024","29325","30081","29325","29816","981k","292.6m","29.83176k","5,702","1",
"06-Nov-2024","30000","30298","29226","29562","2m","459.89m","29.53183k","10,883","1",
"05-Nov-2024","30000","30487","30000","30277","1m","365.03m","30.27483k","6,483","1",
"04-Nov-2024","29710","30575","29710","30303","1m","351.89m","30.34451k","7,831","1",
"01-Nov-2024","29310","29980","29310","29969","990k","294.95m","29.81827k","6,798","1",
"31-Oct-2024","29421","29989","29402","29703","1m","338.51m","29.72393k","5,595","1",
"30-Oct-2024","29273","30076","29075","29762","2m","516.59m","29.77018k","11,622","1",
"29-Oct-2024","29800","30278","29316","29481","2m","707.78m","29.63514k","14,609","1",
"28-Oct-2024","29345","30055","29251","29946","2m","714.06m","29.77899k","8,392","1",
"25-Oct-2024","29849","29921","29237","29250","1m","338.76m","29.43329k","9,974","1",
"24-Oct-2024","29695","29871","29042","29852","562k","166.92m","29.73548k","5,787","1",
"23-Oct-2024","29400","29695","29199","29350","832k","244.89m","29.41316k","5,769","1",
"22-Oct-2024","30100","30100","29288","29505","2m","443.06m","29.53946k","8,441","1",
"21-Oct-2024","29963","30130","29661","29797","799k","238.51m","29.90131k","5,814","1",
"18-Oct-2024","29610","30009","29610","29834","1m","314.77m","29.84122k","7,702","1",
"17-Oct-2024","29601","30205","29601","29907","828k","247.68m","29.90413k","4,233","1",
"16-Oct-2024","30000","30027","29633","29944","1m","346.8m","29.87734k","8,733","1",
"15-Oct-2024","29700","30083","29477","29907","923k","275.34m","29.87716k","3,506","1",
"14-Oct-2024","29400","29861","29307","29671","448k","132.78m","29.66893k","3,719","1",
"11-Oct-2024","28721","29667","28721","29635","937k","276.45m","29.49899k","8,691","1",
"10-Oct-2024","29214","29372","28680","29170","1m","346.12m","29.19149k","10,493","1",
"09-Oct-2024","29330","29566","28775","29045","1m","370.17m","29.03077k","10,882","1",
"08-Oct-2024","29290","29812","28984","29479","2m","484.37m","29.39835k","8,789","1",
"07-Oct-2024","28900","29411","28900","29238","630k","184.6m","29.27771k","4,955","1",
"04-Oct-2024","29302","29418","28942","29093","1m","400.4m","29.09154k","7,195","1",
"03-Oct-2024","29576","29897","29039","29265","945k","276.42m","29.25296k","8,591","1",
"02-Oct-2024","29500","30028","28968","29620","1m","307.7m","29.63388k","8,456","1",
"01-Oct-2024","29601","30487","29200","29377","951k","281.81m","29.61656k","10,378","1",
"30-Sep-2024","30461","30791","29897","29897","2m","527.24m","30.01925k","9,068","1",
"27-Sep-2024","30800","30881","30394","30461","877k","267.92m","30.5448k","8,865","1",
"26-Sep-2024","30276","31049","30276","30804","1m","373.2m","30.74277k","9,602","1",
"25-Sep-2024","30200","30567","29926","30277","2m","644.59m","30.27624k","19,636","1",
"24-Sep-2024","0","0","0","30123","0","0","0","0","1",
