Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"28-Feb-2025","4220","4244","4150","4199","223k","9.38m","4.19883k","445","1",
"27-Feb-2025","4390","4390","4221","4227","570k","24.56m","4.28202k","549","1",
"26-Feb-2025","4477","4477","4379","4379","358k","15.82m","4.41452k","324","1",
"25-Feb-2025","4551","4599","4448","4450","606k","27.23m","4.49388k","792","1",
"24-Feb-2025","4553","4661","4502","4550","233k","10.71m","4.59027k","861","1",
"21-Feb-2025","4670","4670","4550","4550","899k","41.35m","4.58561k","123","1",
"20-Feb-2025","4618","4657","4577","4577","618k","28.46m","4.60763k","329","1",
"19-Feb-2025","4635","4653","4606","4620","216k","9.99m","4.63111k","481","1",
"18-Feb-2025","4603","4742","4603","4620","108k","5.07m","4.67196k","274","1",
"17-Feb-2025","4600","4704","4600","4675","26k","1.19m","4.64254k","68","1",
"14-Feb-2025","4682","4717","4600","4607","164k","7.66m","4.65835k","477","1",
"13-Feb-2025","4746","4914","4684","4690","264k","12.44m","4.70714k","294","1",
"12-Feb-2025","4764","4805","4680","4754","102k","4.85m","4.75307k","227","1",
"11-Feb-2025","4880","4880","4643","4723","216k","10.27m","4.76536k","440","1",
"10-Feb-2025","4850","4974","4778","4857","175k","8.45m","4.82917k","550","1",
"07-Feb-2025","4999","4999","4772","4777","181k","8.81m","4.86683k","368","1",
"06-Feb-2025","4901","4979","4858","4895","209k","10.23m","4.89724k","561","1",
"05-Feb-2025","4929","5032","4900","4900","1m","74.29m","4.93486k","279","1",
"04-Feb-2025","4933","4934","4850","4905","333k","16.24m","4.87032k","587","1",
"03-Feb-2025","4907","4914","4753","4863","584k","28.02m","4.83478k","284","1",
"31-Jan-2025","4901","4925","4824","4893","265k","12.96m","4.88634k","493","1",
"30-Jan-2025","4928","4953","4890","4897","47k","2.3m","4.91219k","117","1",
"29-Jan-2025","4900","4951","4867","4893","88k","4.31m","4.91005k","319","1",
"28-Jan-2025","4944","4995","4807","4923","347k","16.95m","4.88061k","329","1",
"27-Jan-2025","4999","5023","4850","4900","490k","24.12m","4.92762k","1,011","1",
"24-Jan-2025","5014","5067","4979","5000","79k","3.95m","5.01367k","159","1",
"23-Jan-2025","5014","5069","4950","5033","173k","8.69m","5.013k","402","1",
"22-Jan-2025","4904","5094","4904","5022","93k","4.71m","5.03635k","339","1",
"21-Jan-2025","5050","5164","5000","5019","230k","11.66m","5.07687k","260","1",
"20-Jan-2025","5080","5149","5050","5134","245k","12.47m","5.09023k","452","1",
"17-Jan-2025","5002","5184","5002","5080","719k","36.28m","5.06845k","303","1",
"16-Jan-2025","4946","5012","4811","5000","180k","8.85m","4.91408k","241","1",
"15-Jan-2025","4850","5019","4844","4981","168k","8.24m","4.89606k","370","1",
"14-Jan-2025","5113","5113","4860","4860","83k","4.09m","4.94789k","215","1",
"13-Jan-2025","4995","5060","4951","5000","173k","8.64m","5.01055k","652","1",
"10-Jan-2025","4953","5100","4953","5042","97k","4.9m","5.05201k","506","1",
"09-Jan-2025","5116","5116","4901","4990","86k","4.29m","4.99237k","226","1",
"08-Jan-2025","5201","5207","5012","5065","63k","3.2m","5.09939k","178","1",
"07-Jan-2025","5176","5277","5160","5201","132k","6.87m","5.20861k","255","1",
"06-Jan-2025","5199","5289","5199","5220","212k","11.1m","5.23756k","525","1",
"03-Jan-2025","5214","5329","5212","5212","141k","7.38m","5.24362k","203","1",
"02-Jan-2025","5301","5363","5202","5278","672k","35.61m","5.28571k","276","1",
"01-Jan-2025","0","0","0","5300","0","0","0","0","1",
"31-Dec-2024","5300","5407","5290","5300","256k","13.67m","5.32644k","183","1",
"30-Dec-2024","5292","5332","5050","5282","106k","5.63m","5.28871k","340","1",
"27-Dec-2024","5250","5303","5200","5292","144k","7.58m","5.27433k","524","1",
"26-Dec-2024","0","0","0","5250","0","0","0","0","1",
"25-Dec-2024","0","0","0","5250","0","0","0","0","1",
"24-Dec-2024","5251","5286","5250","5250","26k","1.35m","5.25933k","50","1",
"23-Dec-2024","5100","5284","5100","5283","297k","15.61m","5.25239k","583","1",
"20-Dec-2024","5124","5298","5026","5256","854k","44.62m","5.23728k","453","1",
"19-Dec-2024","5301","5336","5122","5150","279k","14.61m","5.2318k","825","1",
"18-Dec-2024","5306","5357","5183","5349","122k","6.48m","5.29969k","260","1",
"17-Dec-2024","5210","5271","5202","5253","185k","9.68m","5.23616k","353","1",
"16-Dec-2024","0","0","0","5300","0","0","0","0","1",
"13-Dec-2024","5347","5347","5253","5300","211k","11.15m","5.29398k","334","1",
"12-Dec-2024","5285","5285","5170","5250","285k","14.86m","5.22305k","1,059","1",
"11-Dec-2024","5181","5347","5181","5237","473k","24.94m","5.28125k","422","1",
"10-Dec-2024","5262","5373","5185","5349","180k","9.55m","5.31751k","390","1",
"09-Dec-2024","5347","5373","5267","5326","970k","51.94m","5.32947k","850","1",
"06-Dec-2024","5172","5350","5172","5330","335k","17.84m","5.32147k","484","1",
"05-Dec-2024","5289","5355","5160","5264","867k","45.58m","5.25084k","479","1",
"04-Dec-2024","5373","5440","5173","5311","200k","10.65m","5.34094k","553","1",
"03-Dec-2024","5221","5347","5194","5253","74k","3.87m","5.24437k","188","1",
