Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"28-Feb-2025","22200","22220","21797","21797","5m","1.13b","21.86035k","6,887","1",
"27-Feb-2025","22454","22535","22172","22190","3m","608.75m","22.30947k","8,478","1",
"26-Feb-2025","22066","22676","22048","22606","2m","530.43m","22.56785k","7,320","1",
"25-Feb-2025","22090","22161","21633","22066","6m","1.27b","21.99187k","8,432","1",
"24-Feb-2025","21800","22133","21700","21785","2m","474.68m","21.81535k","8,333","1",
"21-Feb-2025","21695","21941","21606","21914","2m","353.55m","21.88345k","5,537","1",
"20-Feb-2025","21672","21959","21245","21691","3m","618.99m","21.58779k","6,358","1",
"19-Feb-2025","22015","22305","21695","21753","3m","713.39m","21.88197k","10,439","1",
"18-Feb-2025","22000","22033","21543","22013","3m","552.03m","21.90249k","7,982","1",
"17-Feb-2025","21844","21980","21678","21872","3m","687.54m","21.82317k","4,566","1",
"14-Feb-2025","21556","21900","21508","21876","4m","819.18m","21.81308k","11,906","1",
"13-Feb-2025","21700","21873","21430","21707","6m","1.36b","21.64188k","16,273","1",
"12-Feb-2025","21701","21936","21681","21700","4m","763.51m","21.76791k","10,150","1",
"11-Feb-2025","22100","22100","21717","21778","3m","750.96m","21.78953k","9,572","1",
"10-Feb-2025","22154","22154","21937","21976","3m","614.28m","22.00077k","6,000","1",
"07-Feb-2025","21725","22361","21725","22154","2m","526.45m","22.21564k","6,611","1",
"06-Feb-2025","21676","22149","21676","22099","5m","1.12b","22.03327k","7,364","1",
"05-Feb-2025","21880","21990","21339","21801","4m","828.92m","21.83224k","9,625","1",
"04-Feb-2025","21310","21947","21308","21797","4m","806.38m","21.65083k","9,548","1",
"03-Feb-2025","21550","21550","21088","21310","3m","668.86m","21.31172k","10,756","1",
"31-Jan-2025","21858","22000","21570","21791","3m","586.27m","21.74718k","6,026","1",
"30-Jan-2025","21817","22042","21749","21940","2m","495.8m","21.94317k","6,812","1",
"29-Jan-2025","21677","22057","21615","21912","2m","458.62m","21.87597k","8,354","1",
"28-Jan-2025","21251","21726","21251","21658","2m","387.68m","21.61359k","7,937","1",
"27-Jan-2025","21300","21650","21180","21554","2m","469.69m","21.45303k","8,508","1",
"24-Jan-2025","21635","21716","21440","21524","2m","455.02m","21.56924k","9,013","1",
"23-Jan-2025","21810","21927","21463","21524","3m","684.1m","21.59574k","13,876","1",
"22-Jan-2025","22230","22252","21879","21945","4m","903.17m","22.03783k","13,737","1",
"21-Jan-2025","22100","22317","21862","22194","2m","476.5m","22.14939k","7,075","1",
"20-Jan-2025","22231","22371","22070","22100","2m","439.89m","22.15233k","8,872","1",
"17-Jan-2025","21900","22357","21900","22290","1m","292.88m","22.24845k","5,305","1",
"16-Jan-2025","21891","22260","21775","21816","2m","544.54m","21.86858k","7,491","1",
"15-Jan-2025","21475","22099","21451","22099","2m","525.09m","21.87468k","10,095","1",
"14-Jan-2025","21700","21832","21509","21509","2m","369.83m","21.61464k","5,231","1",
"13-Jan-2025","21732","21747","21158","21583","2m","512.45m","21.47904k","9,473","1",
"10-Jan-2025","22000","22428","21737","21773","3m","595.5m","21.88344k","8,494","1",
"09-Jan-2025","22010","22100","21846","22056","2m","359.25m","22.0022k","5,672","1",
"08-Jan-2025","22600","22600","21910","21993","3m","595.92m","22.04679k","8,253","1",
"07-Jan-2025","22550","22768","22482","22550","1m","324.77m","22.60938k","5,150","1",
"06-Jan-2025","22542","22715","22470","22571","2m","487.49m","22.59327k","7,428","1",
"03-Jan-2025","22259","22497","22067","22479","1m","284.34m","22.42118k","5,239","1",
"02-Jan-2025","22176","22577","22051","22255","1m","230.01m","22.25406k","5,987","1",
"01-Jan-2025","0","0","0","22176","0","0","0","0","1",
"31-Dec-2024","22399","22399","22016","22176","1m","224.95m","22.17574k","1,863","1",
"30-Dec-2024","22450","22450","22020","22139","1m","286.22m","22.17767k","4,976","1",
"27-Dec-2024","22450","22780","22089","22321","2m","350.98m","22.26384k","6,106","1",
"26-Dec-2024","0","0","0","22548","0","0","0","0","1",
"25-Dec-2024","0","0","0","22548","0","0","0","0","1",
"24-Dec-2024","22500","22689","22476","22548","326k","73.4m","22.55057k","1,270","1",
"23-Dec-2024","22544","22661","22309","22536","2m","377.63m","22.51746k","6,327","1",
"20-Dec-2024","22447","22700","22163","22544","7m","1.53b","22.51365k","6,783","1",
"19-Dec-2024","22600","22960","22204","22426","11m","2.41b","22.36543k","8,697","1",
"18-Dec-2024","22550","22827","22550","22705","4m","884.57m","22.70704k","12,090","1",
"17-Dec-2024","22705","23131","22589","22589","3m","721.62m","22.72102k","10,282","1",
"16-Dec-2024","0","0","0","22969","0","0","0","0","1",
